City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Aswan,EG,72.7,clear sky,24.0934,32.907,Nuba Nile
237,Sao Filipe,CV,74.66,overcast clouds,14.8961,-24.4956,Hotel Xaguate
242,Carutapera,BR,80.11,scattered clouds,-1.195,-46.02,Lidera
245,Kalmunai,LK,77.31,overcast clouds,7.4167,81.8167,VS Villa
246,Apiai,BR,65.1,overcast clouds,-24.5094,-48.8425,Pousada Villa Branca
248,Ampanihy,MG,73.74,overcast clouds,-24.7,44.75,Angora Hotel
250,Bengkulu,ID,78.73,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
252,Abong Mbang,CM,67.21,overcast clouds,3.9833,13.1833,Auberge Angle Sur
256,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
258,Tabuk,PH,71.74,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
260,Bujaru,BR,80.62,overcast clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
261,Paracuru,BR,82.42,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
262,Bolobo,CD,70.39,overcast clouds,-2.1667,16.2333,Hotel de Stephen
266,Chirongui,YT,78.73,scattered clouds,-12.9319,45.1483,La Villa Mahatsara
267,Rio Cuarto,AR,65.97,broken clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
268,Taoudenni,ML,66.09,scattered clouds,22.6783,-3.9836,
270,Savannah Bight,HN,80.65,clear sky,16.45,-85.85,Villa on Dunbar Rock
273,Aripuana,BR,74.52,light rain,-9.1667,-60.6333,
276,Funtua,NG,66.85,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
278,Tarata,BO,69.22,overcast clouds,-17.6167,-66.0167,Hacienda castillo
281,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
282,Abonnema,NG,80.38,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
283,Ambanja,MG,72.99,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
284,Mangrol,IN,71.01,clear sky,21.1167,70.1167,Hotel The Royal Honours
285,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
288,Ouro Branco,BR,65.1,moderate rain,-20.5208,-43.6919,Hotel Verdes Mares
290,Tessalit,ML,67.73,broken clouds,20.1986,1.0114,
291,Hualmay,PE,68.0,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
293,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
296,Banikoara,BJ,74.91,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
297,Sur,OM,70.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
300,Nampula,MZ,68.23,scattered clouds,-15.1165,39.2666,BUTIK Hotel
302,Naranjal,EC,75.0,overcast clouds,-2.6667,-79.6167,Media Naranja
303,Guiratinga,BR,72.45,moderate rain,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
305,San,ML,79.05,overcast clouds,13.3034,-4.8956,Hôtel Teriya
306,Santa Rosa,PH,85.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
319,Kulhudhuffushi,MV,80.85,overcast clouds,6.6221,73.07,Haajy Guest House 1
320,Nouakchott,MR,74.26,overcast clouds,18.0858,-15.9785,HOTEL IMAN
321,Doha,QA,66.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
325,Antalaha,MG,72.07,light rain,-14.9003,50.2788,Hotel Vitasoa
328,Morondava,MG,78.21,clear sky,-20.2833,44.2833,La Case Bambou
329,Yambio,SS,70.25,overcast clouds,4.5721,28.3955,Naivasha Hotel
332,Salinopolis,BR,81.39,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
333,Dzaoudzi,YT,78.69,few clouds,-12.7887,45.2699,Le Rocher
334,Aden,YE,77.86,clear sky,12.7794,45.0367,Sama Emirate Hotel
339,Santiago De Cao,PE,66.33,broken clouds,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
347,Dwarka,IN,72.66,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
349,Caaguazu,PY,70.81,overcast clouds,-25.45,-56.0167,Hotel El Farol
351,Cockburn Town,TC,80.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
352,Adeje,ES,66.56,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
354,Piste,MX,76.19,broken clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
355,Santiago Del Estero,AR,74.8,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
356,Bahia Blanca,AR,69.53,overcast clouds,-38.7196,-62.2724,Hotel Argos
359,Camocim,BR,80.58,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
361,Impfondo,CG,72.61,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
370,Diamantino,BR,73.63,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
371,Wawa,NG,75.85,scattered clouds,9.9022,4.4192,
373,Kedougou,SN,77.49,broken clouds,12.5579,-12.1743,Relais de Kédougou
379,Lucapa,AO,66.38,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
383,Moroni,KM,78.03,broken clouds,-11.7022,43.2551,Hotel les Arcades
386,Praia,CV,73.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
391,Ambilobe,MG,72.25,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
392,Caravelas,BR,76.39,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
393,Humaita,BR,75.18,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
399,Mitu,CO,74.55,overcast clouds,1.1983,-70.1733,
400,Oussouye,SN,74.98,few clouds,12.485,-16.5469,Auberge du Routard
401,Nioro,GM,73.94,scattered clouds,13.35,-15.75,
402,Huarmey,PE,68.43,overcast clouds,-10.0681,-78.1522,Hotel Miramar
410,Bonthe,SL,78.98,light rain,7.5264,-12.505,Bonthe Holiday Village
413,Camacari,BR,80.37,broken clouds,-12.6975,-38.3242,Hotel Cambuci
416,Jacareacanga,BR,74.52,light rain,-6.2222,-57.7528,Casa do Ian😎
417,Boca Do Acre,BR,75.42,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
418,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
419,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
420,Mwene-Ditu,CD,65.59,moderate rain,-7.0,23.45,Hôtel Kamas
421,Mouila,GA,74.07,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
427,Betare Oya,CM,70.2,scattered clouds,5.6,14.0833,Auberge Tembina Betaré Oya
428,Hwange,ZW,80.1,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
432,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
434,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
436,Francisco Sa,BR,77.14,light rain,-16.4758,-43.4883,Amaralina Hotel
437,Cabrera,DO,76.32,scattered clouds,19.6426,-69.9049,Terramar Hotel
442,Srivardhan,IN,74.66,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
446,Yenagoa,NG,79.36,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
448,Trincomalee,LK,80.31,light rain,8.5711,81.2335,Welcombe Hotel
459,Cartagena,CO,78.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
461,Mocuba,MZ,76.96,few clouds,-16.8392,36.9856,Phama Lodge
462,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
470,Rafai,CF,71.64,overcast clouds,4.95,23.9167,
478,Nuqui,CO,74.1,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
489,Mecca,SA,71.47,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
492,Suez,EG,65.52,overcast clouds,29.9737,32.5263,Green House
498,Registro,BR,71.33,overcast clouds,-24.4875,-47.8436,Régis Hotel
503,Damietta,EG,66.09,overcast clouds,31.4165,31.8133,SULIMAN INN
505,Nokaneng,BW,71.82,overcast clouds,-19.6667,22.2667,
506,Florianopolis,BR,73.36,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
507,Iracoubo,GF,77.02,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
509,Basseterre,KN,79.18,few clouds,17.2948,-62.7261,St. Kitts Marriott Resort & The Royal Beach Casino
516,Miraflores,MX,66.87,few clouds,19.2167,-98.8083,Hotel Mansión
518,Santiago,CL,69.24,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
520,Kishi,NG,75.6,broken clouds,9.0833,3.85,New NCCF KISI
522,Mogadishu,SO,79.05,overcast clouds,2.0371,45.3438,Hotel Juba
527,Keti Bandar,PK,67.05,clear sky,24.1447,67.4497,Haji laloo memon house
529,Progreso,MX,80.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
531,Pozo Colorado,PY,76.62,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
533,Ankazoabo,MG,72.32,broken clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
534,Alta Floresta,BR,73.06,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
536,Bousso,TD,73.38,few clouds,10.4795,16.7117,
537,Clarence Town,AU,77.14,clear sky,-32.5833,151.7833,River Downs Cottage
539,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
540,El Bagre,CO,73.81,overcast clouds,7.5927,-74.8086,Hotel Real
543,Galle,LK,77.14,overcast clouds,6.0367,80.217,Amangalla
545,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
